"weekday","sleeptime"
"Friday","405.3277591973244147"
"Monday","418.2983425414364641"
"Saturday","419.0701754385964912"
"Sunday","452.7454545454545455"
"Thursday","398.0308844592981619"
"Tuesday","404.5384615384615385"
"Wednesday","435.2638788752703677"
