"hour","calories","met","steps","intensity_count"
0,"71.4955666670905826","1.08049190367989033939","39.93247670427870650088","2.02878895298250136777"
1,"69.8776340661768915","1.05263687472938492727","21.57710740830874312849","1.33107950427194031642"
2,"68.9527333129112884","1.03791856010617596667","15.91560357411302905611","0.98065269094190117982"
3,"67.5363449634862316","1.01758678332612332628","7.03035308324518558582","0.47041563470929433188"
4,"68.0739575795193148","1.02326508898412865455","11.77849087632179956710","0.59353032128338023997"
5,"80.4551583134452990","1.17325556935888786409","41.22486685234182454058","4.59527781697970796776"
6,"86.0186773230259457","1.28215888168227041212","171.60466811130227998697","7.46712477784453182283"
7,"94.9940199282978842","1.43838550319468878244","318.39006509968035846667","11.09340174473852416193"
8,"104.7354445370450082","1.58079342788063370909","452.43219609939233048788","15.35188899349273621602"
9,"105.9658193118070106","1.61483100244991343728","433.23916761198577595455","15.37471632685595912121"
10,"109.7631793895747308","1.6775264367642991","478.0184379658089008","17.5278646895888275"
11,"110.4706036475780636","1.6753250006223768","473.6514358306552248","17.2225850035298442"
12,"115.9494338074926528","1.7445848989208859","539.1918926244819939","19.5593918778134355"
13,"114.5317810276284834","1.7288132801229939","533.8850657985766712","18.5493317451473573"
14,"114.0426307182461079","1.7213731042533179","519.2804679486652921","18.3866682850036904"
15,"105.4688811478119860","1.5899634581843034","393.0695133631404870","15.2459987592749485"
16,"112.1367672072525992","1.6972237522668195","485.0356112982752604","17.3433526695492462"
17,"120.1822229383910463","1.8182115963328915","525.5976639076194252","20.8199992754439215"
18,"122.2254994167520412","1.8516593120948116","591.9826776516762638","21.4887850014461167"
19,"119.7659455640829969","1.8047248054800289","565.6162452856997535","20.8820216571232549"
20,"101.4989399724031944","1.5400043319606935","349.0260639346024208","14.1389372381582623"
21,"94.8811398583399580","1.4389310091138816","299.3511423125532944","11.71425902604223661313"
22,"87.2167314739543486","1.3267295308799793","226.1592418536523729","8.70268934984212020505"
23,"77.0473352458669707","1.17924607165326815758","116.51578575641882997273","4.77486730601851059399"
