"weekday","steps","tot_active_mins","tot_min","calories"
"Tuesday","8125.0065789473684211","234.6315789473684211","1241.9934210526315789","2356.0131578947368421"
"Saturday","8152.9758064516129032","244.2661290322580645","1208.5483870967741935","2354.9677419354838710"
"Friday","7448.2301587301587302","236.3650793650793651","1236.6746031746031746","2331.7857142857142857"
"Thursday","7405.8367346938775510","216.7891156462585034","1178.7823129251700680","2199.5714285714285714"
"Wednesday","7559.3733333333333333","223.7333333333333333","1213.2133333333333333","2302.6200000000000000"
"Sunday","6933.2314049586776860","208.4876033057851240","1198.7438016528925620","2263.0000000000000000"
"Monday","7780.8666666666666667","229.1666666666666667","1257.1083333333333333","2324.2083333333333333"
