"hour","day","avg_met","avg_calories","avg_steps","avg_intensity"
0,"Weekday","1.46055822175851765554","70.5542402388772266","31.35922704413447080514","0.02756522259167802"
1,"Weekday","1.46055822175851765554","69.0617320039828881","17.51974821170785389752","0.017460039065279077"
2,"Weekday","1.46055822175851765554","68.2267261158045431","11.28393656016913765217","0.012141822970079413"
3,"Weekday","1.46055822175851765554","67.4687245122027731","6.78677258183187037220","0.007489794753862737"
4,"Weekday","1.46055822175851765554","68.2945887595981209","13.42041312708048717984","0.010625318829878027"
5,"Weekday","1.46055822175851765554","84.9304142347724624","51.36287064529211398490","0.09961773336110068"
6,"Weekday","1.46055822175851765554","90.7236418205837802","210.35322080896243575702","0.15221588007658154"
7,"Weekday","1.46055822175851765554","98.2622366469256421","358.57465031212690875758","0.20328002882771143"
8,"Weekday","1.46055822175851765554","106.1732507408916812","468.29384963555964180303","0.26556271461749886"
9,"Weekday","1.46055822175851765554","104.2874659053356786","419.36638186490485221515","0.24600681327247406"
10,"Weekday","1.46055822175851765554","107.4421312282244256","455.4236290626138764","0.2793832719056687"
11,"Weekday","1.46055822175851765554","107.6034279776114600","443.8024646007899596","0.2685043471966087"
12,"Weekday","1.46055822175851765554","114.4521219679010401","531.8261953946476518","0.3193003363227982"
13,"Weekday","1.46055822175851765554","109.0687685450947361","497.6483390254661318","0.2795787205440734"
14,"Weekday","1.46055822175851765554","110.6978507346616354","486.9693497577936937","0.29038777136571786"
15,"Weekday","1.46055822175851765554","102.6403357800695017","356.8103557457728458","0.23822441665247363"
16,"Weekday","1.46055822175851765554","114.1159558941855593","506.7513816327213456","0.298770795910894"
17,"Weekday","1.46055822175851765554","122.7063832764789703","539.7921387225214976","0.3620217205013487"
18,"Weekday","1.46055822175851765554","124.8748807545458263","629.7606104952994905","0.3740269806752259"
19,"Weekday","1.46055822175851765554","121.4617524421352173","583.6335096323134601","0.3555175801361849"
20,"Weekday","1.46055822175851765554","102.7118352938927102","357.9959771222929118","0.24248936345045172"
21,"Weekday","1.46055822175851765554","94.7867003544037037","302.1384838447039404","0.19595100254129175"
22,"Weekday","1.46055822175851765554","87.7609343606951262","226.58341969035748940909","0.14539650150134292"
23,"Weekday","1.46055822175851765554","77.2316728194718625","118.57494376968061179011","0.08175979170611422"
0,"Weekend","1.46853494649150163540","74.1467633928571429","66.18694196428571428438","0.05279949181547619"
1,"Weekend","1.46853494649150163540","72.0989583333333333","33.89062500000000000000","0.03639324088541667"
2,"Weekend","1.46853494649150163540","70.9375000000000000","29.92968750000000000000","0.02923179296875"
3,"Weekend","1.46853494649150163540","67.3906250000000000","6.79296875000000000000","0.008116347656250002"
4,"Weekend","1.46853494649150163540","67.2552083333333333","7.48437500000000000000","0.008159736979166667"
5,"Weekend","1.46853494649150163540","67.4700520833333333","13.12500000000000000000","0.011197936197916668"
6,"Weekend","1.46853494649150163540","72.5364583333333333","61.69661458333333333438","0.04644097916666666"
7,"Weekend","1.46853494649150163540","84.6110491071428571","192.16629464285714285625","0.12743988262648812"
8,"Weekend","1.46853494649150163540","99.9097842261904762","400.34933035714285714375","0.22635479017857146"
9,"Weekend","1.46853494649150163540","110.5208333333333333","476.31938244047619047500","0.2887555881696429"
10,"Weekend","1.46853494649150163540","117.4648437500000000","559.49218750000000000000","0.33786892578125"
11,"Weekend","1.46853494649150163540","119.2304687500000000","567.3437500000000000","0.3484809036458333"
12,"Weekend","1.46853494649150163540","120.7473958333333333","571.3424479166666667","0.3495442981770834"
13,"Weekend","1.46853494649150163540","130.5468750000000000","645.8997395833333333","0.3999782565104167"
14,"Weekend","1.46853494649150163540","124.1731770833333333","620.54817708333333333125","0.3580729270833332"
15,"Weekend","1.46853494649150163540","113.7317708333333333","500.39973958333333333438","0.30182291015625"
16,"Weekend","1.46853494649150163540","106.5026041666666667","423.9658854166666667","0.264322890625"
17,"Weekend","1.46853494649150163540","114.1575520833333333","498.0028645833333333","0.3130815861979167"
18,"Weekend","1.46853494649150163540","114.9760416666666667","490.8333333333333333","0.31780816328125"
19,"Weekend","1.46853494649150163540","115.7460937500000000","525.8981770833333333","0.3329860924479167"
20,"Weekend","1.46853494649150163540","98.5588541666666667","331.24453125000000000104","0.22107206796875"
21,"Weekend","1.46853494649150163540","95.6565104166666667","300.6791666666666667","0.19860677161458337"
22,"Weekend","1.46853494649150163540","86.0742187500000000","231.82682291666666666563","0.1482769171875"
23,"Weekend","1.46853494649150163540","76.6703125000000000","115.12630208333333333438","0.07638455677083333"
