"day","steps_n","steps_o","very_active_minutes_n","very_active_minutes_o","total_active_minutes_n","total_active_minutes_o","active_hours_n","active_hours_o","calories_n","calories_o"
"Friday","7549.0000000000000000","805.0000000000000000","16.5000000000000000","0.00000000000000000000","371.0000000000000000","42.2500000000000000","6.0000000000000000","0.75000000000000000000","1998.5000000000000000","2190.0000000000000000"
"Monday","7596.5000000000000000","1046.5000000000000000","0.25000000000000000000","4.0000000000000000","340.7500000000000000","36.7500000000000000","5.7500000000000000","0.50000000000000000000","1895.2500000000000000","2194.7500000000000000"
"Saturday","8098.5000000000000000","1113.7500000000000000","38.7500000000000000","0.00000000000000000000","281.7500000000000000","48.2500000000000000","4.7500000000000000","0.75000000000000000000","1974.0000000000000000","2214.0000000000000000"
"Sunday","6241.0000000000000000","1198.5000000000000000","24.7500000000000000","3.7500000000000000","249.5000000000000000","41.7500000000000000","4.2500000000000000","0.50000000000000000000","1815.5000000000000000","2215.2500000000000000"
"Thursday","8112.4000000000000000","767.6000000000000000","8.6000000000000000","0.00000000000000000000","315.4000000000000000","38.4000000000000000","5.2000000000000000","0.80000000000000000000","1820.0000000000000000","2048.8000000000000000"
"Tuesday","8134.6000000000000000","1153.0000000000000000","1.00000000000000000000","2.0000000000000000","365.4000000000000000","54.8000000000000000","5.8000000000000000","0.80000000000000000000","1937.6000000000000000","2235.8000000000000000"
"Wednesday","7010.8000000000000000","428.4000000000000000","13.6000000000000000","0.00000000000000000000","359.8000000000000000","23.8000000000000000","6.0000000000000000","0.40000000000000000000","1981.0000000000000000","2135.6000000000000000"
